year,n_firms,n_emp,payroll,revenue,NAICS2017,state,payroll_per_emp,ai_firms_did_not_use,ai_firms_tested_but_did_not_use_in_production_or_service,ai_firms_low_use,ai_firms_moderate_use,ai_firms_high_use,ai_firms_dont_know,ai_firms_any_use,ai_firms_total,ai_adoption_rate,high_ai
2017,29263,230851,14981145,71149984,23,17,64.8953004318803,24188,0,0,0,0,1286,0,25474,0,High AI adoption
2017,28722,176105,5035932,18803362,81,12,28.5961897731467,22588,0,0,0,0,1201,0,23789,0,High AI adoption
2017,577,3205,107730,225541,11,17,33.61310452418097,0,0,0,0,0,0,0,0,NA,NA
2017,31110,955261,18326171,65410221,72,12,19.184464769314356,23178,0,219,0,0,1369,219,24985,0.008765259155493296,High AI adoption
2017,424,7876,527984,2934605,21,17,67.0370746571864,390,0,0,0,0,0,0,390,0,High AI adoption
2017,190,30873,3582612,23635642,22,17,116.04353318433583,59,0,0,0,0,0,0,59,0,High AI adoption
2017,340,629,12088,717,99,12,19.217806041335454,115,0,0,0,0,0,0,115,0,High AI adoption
2017,48112,1063085,49982317,140760600,62,12,47.01629408749065,35337,0,454,556,425,1981,1435,40188,0.03570717627152384,High AI adoption
2017,18243,385956,30169036,190623591,52,12,78.16703458425313,12841,102,374,321,0,809,695,15142,0.04589882446176199,High AI adoption
2017,14949,332286,24444371,574056834,42,17,73.56425187940509,11016,27,68,117,0,1055,185,12468,0.014837985242220084,High AI adoption
2017,30771,186643,8202958,50656837,53,12,43.94999008802902,21787,136,481,402,0,1804,883,25493,0.03463695916526105,High AI adoption
2017,74624,537534,35011695,89926901,54,12,65.13391711035953,53419,969,1822,1077,578,2333,3477,63675,0.05460541813898705,High AI adoption
2017,1769,162691,13634963,7341315,55,12,83.80895685686363,1128,24,41,0,0,101,41,1335,0.030711610486891385,High AI adoption
2017,32965,1749341,74172202,119370199,56,12,42.40008208805487,26387,0,396,244,0,1164,640,28831,0.02219832818840831,High AI adoption
2017,4036,166899,6867269,7778790,61,17,41.14625611897016,2041,0,0,0,0,0,0,2041,0,High AI adoption
2017,6465,179438,6475693,8960002,61,12,36.088749317312946,4224,0,0,0,0,160,0,4384,0,High AI adoption
2017,5331,175728,13808463,74620043,51,12,78.578615815351,3767,169,103,97,77,251,277,4741,0.058426492301202275,High AI adoption
2017,3329,129603,10875827,48570322,51,17,83.916475698865,2097,35,136,57,54,249,247,2875,0.08591304347826087,High AI adoption
