year,state,naics_sector,tech_type,use_level,used_tech,n_firms,n_emp,revenue,payroll
2018,05,Total,specialized equipment,Don't know,Unknown,2858,166067,0,6471769
2018,06,Total,artificial intelligence,Did not use,Did not use,535559,7879748,0,419244242
2018,06,Total,artificial intelligence,"Tested, but did not use in production or service",Tested only,4268,236284,0,19285532
2018,06,Total,artificial intelligence,Low use,Used,10405,694672,0,58896689
2018,06,Total,artificial intelligence,Moderate use,Used,7378,422032,0,49415060
2018,06,Total,artificial intelligence,High use,Used,3383,121154,0,18042985
2018,06,Total,artificial intelligence,Don't know,Unknown,36518,1908619,0,177004255
2018,06,Total,cloud-based,Did not use,Did not use,350415,4021857,0,187975382
2018,06,Total,cloud-based,"Tested, but did not use in production or service",Tested only,6330,108322,0,7487830
2018,06,Total,cloud-based,Low use,Used,62779,1073717,0,65046636
2018,06,Total,cloud-based,Moderate use,Used,74209,2337540,0,155169543
2018,06,Total,cloud-based,High use,Used,70133,2216353,0,185466118
2018,06,Total,cloud-based,Don't know,Unknown,37349,1539008,0,142720118
2018,06,Total,specialized software,Did not use,Did not use,321609,3687855,0,171024913
2018,06,Total,specialized software,"Tested, but did not use in production or service",Tested only,4310,84062,0,4234597
2018,06,Total,specialized software,Low use,Used,47200,658468,0,41290015
2018,06,Total,specialized software,Moderate use,Used,83658,2105133,0,147393772
2018,06,Total,specialized software,High use,Used,102413,2947626,0,215223062
2018,06,Total,specialized software,Don't know,Unknown,38351,1779671,0,162723358
2018,06,Total,robotics,Did not use,Did not use,560067,8067976,0,438016994
2018,06,Total,robotics,High use,Used,1969,291936,0,24510903
2018,06,Total,robotics,"Tested, but did not use in production or service",Tested only,1454,151312,0,14713303
2018,06,Total,robotics,Low use,Used,6070,656349,0,58907441
2018,06,Total,robotics,Moderate use,Used,4222,440398,0,45186924
2018,06,Total,robotics,Don't know,Unknown,27577,1693799,0,162536977
2018,06,Total,specialized equipment,Did not use,Did not use,453214,5875251,0,310991260
2018,06,Total,specialized equipment,"Tested, but did not use in production or service",Tested only,2216,57314,0,4044173
2018,06,Total,specialized equipment,Low use,Used,32360,765000,0,45655055
2018,06,Total,specialized equipment,Moderate use,Used,41769,1228676,0,96251640
2018,06,Total,specialized equipment,High use,Used,34729,1144205,0,80091674
2018,06,Total,specialized equipment,Don't know,Unknown,37102,2231388,0,206835376
2018,08,Total,artificial intelligence,Did not use,Did not use,108747,1385677,0,68995515
2018,08,Total,artificial intelligence,"Tested, but did not use in production or service",Tested only,704,39592,0,2790276
2018,08,Total,artificial intelligence,Low use,Used,2435,157864,0,8406265
2018,08,Total,artificial intelligence,Moderate use,Used,1701,61111,0,5331213
2018,08,Total,artificial intelligence,High use,Used,582,12057,0,1062610
2018,08,Total,artificial intelligence,Don't know,Unknown,5557,254526,0,14959858
2018,08,Total,cloud-based,"Tested, but did not use in production or service",Tested only,753,15065,0,869425
2018,08,Total,cloud-based,Did not use,Did not use,63763,584165,0,27428142
2018,08,Total,cloud-based,Low use,Used,15158,216859,0,10589231
2018,08,Total,cloud-based,Moderate use,Used,18640,467614,0,27541133
2018,08,Total,cloud-based,High use,Used,16051,419515,0,22276922
2018,08,Total,cloud-based,Don't know,Unknown,6211,212653,0,13050952
2018,08,Total,specialized software,Did not use,Did not use,59485,554238,0,25891252
2018,08,Total,specialized software,"Tested, but did not use in production or service",Tested only,627,17229,0,855402
2018,08,Total,specialized software,Low use,Used,11809,131094,0,5974597
2018,08,Total,specialized software,Moderate use,Used,19185,358462,0,19972661
2018,08,Total,specialized software,High use,Used,22836,616185,0,33699006
2018,08,Total,specialized software,Don't know,Unknown,5719,233322,0,15146509
2018,08,Total,robotics,Did not use,Did not use,113742,1342531,0,67264908
2018,08,Total,robotics,"Tested, but did not use in production or service",Tested only,355,48574,0,3510503
2018,08,Total,robotics,Low use,Used,1041,129767,0,8401324
2018,08,Total,robotics,Moderate use,Used,838,71534,0,5568330
2018,08,Total,robotics,High use,Used,393,64233,0,3602215
2018,08,Total,robotics,Don't know,Unknown,4245,259294,0,13417907
2018,08,Total,specialized equipment,Did not use,Did not use,93051,1010953,0,49431327
2018,08,Total,specialized equipment,"Tested, but did not use in production or service",Tested only,394,18827,0,1130315
2018,08,Total,specialized equipment,Low use,Used,6526,143165,0,7424769
2018,08,Total,specialized equipment,Moderate use,Used,7718,196665,0,12023363
2018,08,Total,specialized equipment,High use,Used,7449,262890,0,14805188
2018,08,Total,specialized equipment,Don't know,Unknown,5481,283372,0,16941472
2018,09,Total,artificial intelligence,Did not use,Did not use,50013,694465,0,37273158
2018,09,Total,artificial intelligence,"Tested, but did not use in production or service",Tested only,226,29858,0,3387151
2018,09,Total,artificial intelligence,Low use,Used,873,71682,0,5740011
2018,09,Total,artificial intelligence,Moderate use,Used,389,37714,0,2959019
2018,09,Total,artificial intelligence,High use,Used,224,3303,0,344682
2018,09,Total,artificial intelligence,Don't know,Unknown,3691,148955,0,11172937
2018,09,Total,robotics,Low use,Used,720,74152,0,4713230
2018,09,Total,robotics,Moderate use,Used,629,37538,0,3750691
2018,09,Total,robotics,High use,Used,190,25231,0,1384794
2018,09,Total,robotics,Don't know,Unknown,2462,109886,0,8350361
2018,09,Total,specialized equipment,Did not use,Did not use,41654,590998,0,33494413
2018,09,Total,specialized equipment,"Tested, but did not use in production or service",Tested only,216,2322,0,219415
2018,09,Total,specialized equipment,Low use,Used,3411,70469,0,4326590
2018,09,Total,specialized equipment,Moderate use,Used,3954,105402,0,7051708
2018,09,Total,specialized equipment,High use,Used,2970,93349,0,4928059
2018,09,Total,specialized equipment,Don't know,Unknown,3510,125823,0,10964162
2018,09,Total,cloud-based,Did not use,Did not use,32650,383774,0,18090247
2018,09,Total,cloud-based,"Tested, but did not use in production or service",Tested only,364,15962,0,798828
2018,09,Total,cloud-based,Low use,Used,5981,142759,0,9268115
2018,09,Total,cloud-based,Moderate use,Used,6905,187281,0,12967891
2018,09,Total,cloud-based,High use,Used,5735,131667,0,9067167
2018,09,Total,cloud-based,Don't know,Unknown,4113,126970,0,10793008
2018,09,Total,specialized software,Did not use,Did not use,28878,314274,0,14717767
