state,naics_sector,produced,n_firms,n_emp
38,21,Don't know,0,0
39,21,Yes,0,0
39,21,No,337,7298
39,21,Don't know,0,0
40,21,Yes,0,0
40,21,No,2069,32918
40,21,Don't know,39,5943
41,21,Yes,0,0
41,21,No,62,1133
41,21,Don't know,0,0
42,21,Yes,0,0
42,21,No,507,26221
42,21,Don't know,0,0
45,21,Yes,0,0
45,21,No,23,1101
45,21,Don't know,0,0
44,21,Yes,0,0
44,21,No,0,0
44,21,Don't know,0,0
46,21,Yes,0,0
46,21,No,36,957
46,21,Don't know,0,0
47,21,Yes,0,0
47,21,No,138,3450
47,21,Don't know,0,0
48,21,Yes,0,0
48,21,No,4460,112575
48,21,Don't know,141,22889
49,21,Yes,0,0
49,21,No,266,4149
49,21,Don't know,0,0
50,21,Yes,0,0
50,21,No,0,0
50,21,Don't know,0,0
53,21,Yes,0,0
53,21,No,0,0
53,21,Don't know,0,0
51,21,Yes,0,0
51,21,No,136,6331
51,21,Don't know,0,0
54,21,Yes,0,0
54,21,No,233,15526
54,21,Don't know,0,0
55,21,Yes,0,0
55,21,No,0,0
55,21,Don't know,0,0
56,21,Yes,0,0
56,21,No,458,12688
56,21,Don't know,24,899
01,22,Yes,0,0
01,22,No,29,1400
01,22,Don't know,0,0
02,22,Yes,0,0
02,22,No,19,606
02,22,Don't know,0,0
04,22,Yes,0,0
04,22,No,151,15697
04,22,Don't know,0,0
05,22,Yes,0,0
05,22,No,31,1606
05,22,Don't know,0,0
06,22,Yes,0,0
06,22,No,267,38351
06,22,Don't know,0,0
08,22,Yes,0,0
08,22,No,119,2282
08,22,Don't know,0,0
09,22,Yes,0,0
09,22,No,29,1226
09,22,Don't know,0,0
10,22,Yes,0,0
10,22,No,0,0
10,22,Don't know,0,0
11,22,Yes,0,0
11,22,No,21,3124
11,22,Don't know,0,0
12,22,Yes,0,0
12,22,No,182,16754
12,22,Don't know,0,0
13,22,Yes,0,0
13,22,No,66,1482
13,22,Don't know,0,0
15,22,Yes,0,0
15,22,No,0,0
15,22,Don't know,0,0
16,22,Yes,0,0
16,22,No,96,3236
16,22,Don't know,0,0
17,22,Yes,0,0
17,22,No,91,29904
17,22,Don't know,0,0
18,22,No,67,12977
18,22,Yes,0,0
18,22,Don't know,0,0
19,22,Yes,0,0
19,22,No,66,8704
19,22,Don't know,0,0
20,22,Yes,0,0
20,22,No,53,1195
20,22,Don't know,0,0
21,22,Yes,0,0
21,22,No,43,7068
21,22,Don't know,0,0
22,22,Yes,0,0
22,22,No,64,3234
22,22,Don't know,0,0
24,22,Yes,0,0
24,22,No,39,10525
24,22,Don't know,0,0
23,22,Yes,0,0
23,22,No,47,443
23,22,Don't know,0,0
25,22,Yes,0,0
25,22,No,39,2205
25,22,Don't know,0,0
26,22,Yes,0,0
26,22,No,58,3637
26,22,Don't know,0,0
27,22,Yes,0,0
27,22,No,85,5877
27,22,Don't know,0,0
28,22,Yes,0,0
28,22,No,70,972
28,22,Don't know,0,0
29,22,No,43,11357
29,22,Yes,0,0
29,22,Don't know,0,0
30,22,Yes,0,0
30,22,No,0,0
30,22,Don't know,0,0
31,22,Yes,0,0
31,22,No,38,762
31,22,Don't know,0,0
32,22,Yes,0,0
32,22,No,49,3685
32,22,Don't know,0,0
34,22,Yes,0,0
34,22,No,53,21288
34,22,Don't know,0,0
33,22,Yes,0,0
33,22,No,30,941
33,22,Don't know,0,0
36,22,Yes,0,0
36,22,No,189,29015
36,22,Don't know,0,0
35,22,Yes,0,0
35,22,No,64,2922
35,22,Don't know,0,0
37,22,Yes,0,0
37,22,No,67,23010
37,22,Don't know,0,0
38,22,Yes,0,0
38,22,No,25,902
38,22,Don't know,0,0
39,22,Yes,0,0
39,22,No,80,26064
39,22,Don't know,0,0
40,22,Yes,0,0
40,22,No,89,12056
40,22,Don't know,0,0
41,22,Yes,0,0
41,22,No,82,17211
41,22,Don't know,0,0
42,22,Don't know,0,0
42,22,Yes,0,0
42,22,No,161,26423
45,22,Yes,0,0
45,22,No,61,12177
45,22,Don't know,0,0
44,22,Yes,0,0
44,22,No,0,0
44,22,Don't know,0,0
46,22,Yes,0,0
46,22,No,0,0
46,22,Don't know,0,0
47,22,Yes,0,0
47,22,No,25,857
47,22,Don't know,0,0
48,22,Yes,0,0
48,22,No,323,27592
48,22,Don't know,24,3895
49,22,Yes,0,0
49,22,No,54,4441
49,22,Don't know,0,0
50,22,Yes,0,0
50,22,No,69,911
50,22,Don't know,0,0
53,22,Yes,0,0
53,22,No,99,9011
53,22,Don't know,0,0
51,22,Yes,0,0
51,22,No,32,3281
51,22,Don't know,0,0
54,22,Yes,0,0
54,22,No,36,5158
54,22,Don't know,0,0
55,22,Yes,0,0
55,22,No,43,9884
55,22,Don't know,0,0
56,22,Yes,0,0
56,22,No,39,1468
56,22,Don't know,0,0
01,23,Yes,0,0
01,23,No,6720,66648
01,23,Don't know,197,1558
02,23,Yes,0,0
02,23,No,1922,16848
02,23,Don't know,0,0
04,23,Yes,0,0
04,23,No,11027,127002
04,23,Don't know,292,4444
05,23,Yes,0,0
05,23,No,3895,39524
05,23,Don't know,0,0
06,23,Yes,0,0
06,23,No,57541,602708
06,23,Don't know,2528,23405
08,23,Yes,0,0
08,23,No,16125,160268
08,23,Don't know,607,6764
09,23,Yes,0,0
09,23,No,5877,54944
09,23,Don't know,0,0
10,23,Yes,0,0
10,23,No,1879,20696
10,23,Don't know,0,0
11,23,Yes,0,0
11,23,No,440,10779
11,23,Don't know,0,0
12,23,Yes,0,0
12,23,No,38122,312262
12,23,Don't know,2129,16120
13,23,No,14985,166173
13,23,Yes,0,0
13,23,Don't know,811,8629
15,23,Yes,0,0
15,23,No,2309,23888
15,23,Don't know,0,0
16,23,Yes,0,0
16,23,No,5811,33263
16,23,Don't know,0,0
17,23,Yes,0,0
17,23,No,25021,186904
17,23,Don't know,839,4460
