state,naics2017,firms_using_artificial_intelligence,firms_using_cloud_based,firms_using_robotics,firms_using_specialized_equipment,firms_using_specialized_software,emp_using_artificial_intelligence,emp_using_cloud_based,emp_using_robotics,emp_using_specialized_equipment,emp_using_specialized_software
15,51,0,140,0,21,111,0,3295,0,584,2850
15,52,0,106,13,0,108,0,4958,2946,0,3606
15,53,0,220,0,0,227,0,1408,0,0,2042
15,54,187,1314,50,256,1365,1805,12071,1305,2294,13735
15,55,0,17,0,0,57,0,270,0,0,520
15,56,0,68,0,100,271,0,2624,0,2197,6283
15,61,0,0,0,0,0,0,0,0,0,0
15,62,0,613,0,0,1117,0,5372,0,0,9077
15,71,0,0,0,0,0,0,0,0,0,0
15,72,0,67,0,0,283,0,8362,0,0,23580
15,81,0,0,0,0,0,0,0,0,0,0
15,99,0,0,0,0,0,0,0,0,0,0
16,00,832,11222,917,7552,14022,41327,234692,68494,161868,261559
16,11,0,0,0,0,0,0,0,0,0,0
16,21,0,0,0,0,0,0,0,0,0,0
16,22,0,0,0,0,0,0,0,0,0,0
16,23,0,332,0,0,1008,0,3547,0,0,12798
16,31-33,16,468,180,595,624,1654,33612,27327,36783,39715
16,42,42,558,137,390,563,1530,12206,3433,15040,11961
16,44-45,27,1202,105,728,1269,14022,40459,3332,27190,38453
16,48-49,0,395,0,223,459,0,9625,0,6915,10814
16,51,0,310,0,70,269,0,8027,0,3404,7352
16,52,52,530,12,48,523,219,5085,217,492,4612
16,53,0,566,0,0,287,0,977,0,0,389
16,54,145,1864,72,647,2442,9260,24850,8409,13158,26332
16,55,0,33,0,22,36,0,1305,0,891,1264
16,56,0,730,0,197,707,0,20266,0,1915,20044
16,61,0,0,0,0,0,0,0,0,0,0
16,62,0,1248,0,934,2265,0,22900,0,9910,35578
16,71,0,0,0,0,0,0,0,0,0,0
16,72,0,505,0,168,882,0,15907,0,6213,25592
16,81,0,261,0,268,457,0,892,0,1715,2244
16,99,0,0,0,0,0,0,0,0,0,0
17,00,6303,65966,4637,37522,76563,573211,2148644,620525,1306005,2192410
17,11,0,0,0,0,0,0,0,0,0,0
17,21,0,24,0,24,31,0,1403,0,1294,1230
17,22,0,26,0,0,0,0,22151,0,0,0
17,23,0,5346,0,3605,5783,0,73927,0,40833,86788
17,31-33,307,3440,1421,4114,4322,97051,299999,185515,314580,326623
17,42,185,4534,741,2728,4163,26827,131272,50686,93480,126567
17,44-45,817,5710,298,3624,6576,136986,334795,60849,245333,325343
17,48-49,377,3046,214,1938,3626,59560,123741,58966,91134,117987
17,51,247,1552,22,503,1599,19208,67502,5301,36751,66883
17,52,404,4248,212,641,5006,29621,108075,13602,32419,115790
17,53,0,2649,0,567,2627,0,28393,0,2741,28010
17,54,1516,15968,710,4207,17634,57437,200507,40862,57398,200855
17,55,62,548,110,305,539,61351,117751,47628,87219,101142
17,56,120,3414,121,1189,3951,23635,210145,8912,46239,225216
17,61,0,323,0,0,437,0,2895,0,0,10899
17,62,347,8152,257,6017,9759,5153,201583,10429,95051,196201
17,71,0,429,0,271,983,0,17132,0,4952,22129
17,72,0,3715,0,2328,4171,0,150348,0,79022,155760
17,81,0,2898,0,4694,5224,0,29912,0,35869,43472
17,99,0,0,0,0,188,0,0,0,0,181
18,00,2823,31701,2558,19661,38802,328034,1284151,439005,878424,1296399
18,11,0,0,0,0,0,0,0,0,0,0
18,21,0,0,0,0,0,0,0,0,0,0
18,22,0,0,0,0,0,0,0,0,0,0
18,23,0,1973,0,2140,1746,0,36636,0,34497,32708
18,31-33,206,2074,886,2929,3100,85446,282725,198541,311351,302522
18,42,195,1570,429,1277,2799,11164,44843,20199,43183,64523
18,44-45,174,3153,198,2467,4499,75262,225530,33327,129010,193406
18,48-49,217,1435,111,830,1587,31148,78866,22092,58100,79411
18,51,36,671,0,260,639,3092,19072,0,14122,19941
18,52,101,2626,24,262,1167,15794,70715,2253,7471,27254
18,53,0,1361,0,0,1282,0,7334,0,0,6264
18,54,677,6106,230,1928,6851,32688,83385,26743,46104,86176
18,55,21,156,48,100,145,11455,33670,13751,30065,36075
18,56,238,1992,0,874,2370,18602,121292,0,32422,114100
18,61,0,181,0,0,0,0,3572,0,0,0
18,62,0,2624,0,2576,3982,0,89875,0,79963,130112
18,71,0,0,0,0,0,0,0,0,0,0
18,72,0,1664,0,607,2031,0,87151,0,23237,88040
18,81,0,1243,0,2622,3271,0,10341,0,24471,31190
18,99,0,0,0,0,0,0,0,0,0,0
19,00,1850,15952,1541,11171,20526,184688,647460,273218,446056,665282
19,11,0,0,0,0,0,0,0,0,0,0
19,21,0,0,0,0,0,0,0,0,0,0
19,22,0,0,0,0,0,0,0,0,0,0
19,23,0,1088,0,694,1667,0,16729,0,12266,26568
19,31-33,148,887,585,1176,1364,42890,133920,120426,139473,142422
19,42,88,1213,236,303,1359,1539,26592,9177,9444,27765
19,44-45,239,1927,119,1397,2601,41279,128664,46376,112121,131292
19,48-49,0,852,0,542,839,0,41975,0,22680,37884
19,51,0,429,0,148,438,0,14479,0,6421,13019
19,52,82,1808,25,17,2202,22755,46972,11266,2976,47127
19,53,0,261,0,0,609,0,886,0,0,3673
19,54,304,2532,144,1274,3333,9624,30279,5440,20348,36817
19,55,0,61,0,81,102,0,10164,0,9489,13328
19,56,0,538,0,617,993,0,54405,0,6400,85373
19,61,0,0,0,0,0,0,0,0,0,0
19,62,0,1767,0,1085,2215,0,35896,0,17782,28876
19,71,0,0,0,0,0,0,0,0,0,0
19,72,0,784,0,110,735,0,41717,0,4897,34705
19,81,0,0,0,427,1170,0,0,0,1806,8461
19,99,0,0,0,0,151,0,0,0,0,253
20,00,1645,16181,1190,9364,19747,102438,487944,185414,349481,553741
20,11,0,0,0,0,0,0,0,0,0,0
20,21,0,0,0,0,176,0,0,0,0,1507
20,22,0,0,0,0,0,0,0,0,0,0
20,23,0,643,0,980,1044,0,19487,0,13419,22469
20,31-33,41,673,221,985,997,15255,73961,66229,94813,108971
20,42,68,1076,127,443,1168,4906,24353,8282,15452,27389
20,44-45,139,1879,276,802,1829,38907,98791,19338,66774,85483
20,48-49,23,433,16,216,491,8194,28754,5488,23743,22353
20,51,0,351,0,43,352,0,24644,0,4119,23278
20,52,202,1750,88,255,1957,6894,22926,8064,5821,29936
20,53,0,359,0,0,813,0,1808,0,0,11422
20,54,142,3041,185,867,3577,4483,32067,7447,12910,33695
20,55,21,151,30,18,191,5750,14814,7391,6064,14310
20,56,0,1268,0,916,1289,0,24240,0,4931,24482
20,61,0,0,0,0,0,0,0,0,0,0
20,62,0,2149,0,762,2611,0,61013,0,36532,81247
20,71,0,0,0,0,0,0,0,0,0,0
20,72,0,510,0,161,1012,0,27326,0,4404,35174
20,81,0,221,0,0,570,0,1958,0,0,6160
20,99,0,0,0,0,0,0,0,0,0,0
21,00,1657,17914,1820,11545,22937,162119,638416,234015,440720,690747
21,11,0,0,0,0,0,0,0,0,0,0
21,21,0,0,0,0,0,0,0,0,0,0
21,22,0,0,0,0,0,0,0,0,0,0
21,23,0,1020,0,770,1066,0,23036,0,17275,21959
21,31-33,127,848,551,1223,1347,46722,136598,94270,140047,159894
21,42,50,1423,266,551,1320,4234,37869,15581,14146,36962
21,44-45,109,1933,219,937,3148,45737,133587,17590,67752,119536
21,48-49,21,687,25,358,525,10206,33852,15263,26271,25232
21,51,26,329,0,121,343,1335,7168,0,3045,6609
21,52,30,1453,21,199,1493,4705,25134,1579,4836,23681
21,53,0,597,0,0,515,0,3043,0,0,4526
21,54,285,3591,66,1448,4053,10373,32419,3437,11463,33221
21,55,17,192,17,78,185,3696,16763,2880,11376,15709
21,56,0,808,0,297,900,0,41347,0,12934,41780
21,61,0,0,0,0,0,0,0,0,0,0
21,62,0,2284,0,904,3621,0,56348,0,18649,67211
21,71,0,0,0,0,0,0,0,0,0,0
21,72,0,955,0,126,1358,0,54026,0,9603,61991
21,81,0,949,0,1116,1248,0,11026,0,13076,16546
