state,naics_sector,impact,n_firms,n_emp
23,00,"Not applicable, did not employ workers with STEM skills",284,2291
25,00,Increased number of workers employed by this business,439,64804
25,00,Decreased number of workers employed by this business,144,11429
25,00,Did not change number of workers employed by this business,2341,184940
25,00,Increased skill level of workers employed by this business,1135,138342
25,00,Decreased skill level of workers employed by this business,0,0
25,00,Did not change skill level of workers employed by this business,1789,122783
25,00,Increased STEM skills of workers employed by this business,892,146605
25,00,Decreased STEM skills of workers employed by this business,0,0
25,00,Did not change STEM skills of workers employed by this business,1515,102128
25,00,"Not applicable, did not employ workers with STEM skills",516,12392
26,00,Increased number of workers employed by this business,681,184968
26,00,Decreased number of workers employed by this business,204,26472
26,00,Did not change number of workers employed by this business,2818,169386
26,00,Increased skill level of workers employed by this business,1683,238757
26,00,Decreased skill level of workers employed by this business,0,0
26,00,Did not change STEM skills of workers employed by this business,1418,131232
26,00,Did not change skill level of workers employed by this business,1869,135744
26,00,Increased STEM skills of workers employed by this business,1336,229213
26,00,Decreased STEM skills of workers employed by this business,0,0
26,00,"Not applicable, did not employ workers with STEM skills",853,16265
27,00,Did not change number of workers employed by this business,2440,146964
27,00,Increased number of workers employed by this business,688,106682
27,00,Decreased number of workers employed by this business,287,32465
27,00,Increased skill level of workers employed by this business,1183,171836
27,00,Decreased skill level of workers employed by this business,0,0
27,00,Did not change skill level of workers employed by this business,2165,108200
27,00,Increased STEM skills of workers employed by this business,1172,176532
27,00,Decreased STEM skills of workers employed by this business,0,0
27,00,Did not change STEM skills of workers employed by this business,1406,91766
27,00,"Not applicable, did not employ workers with STEM skills",773,11777
28,00,Increased number of workers employed by this business,160,48246
28,00,Decreased number of workers employed by this business,81,8027
28,00,Did not change number of workers employed by this business,918,49176
28,00,Increased skill level of workers employed by this business,478,63327
28,00,Decreased skill level of workers employed by this business,0,0
28,00,Did not change skill level of workers employed by this business,677,41224
28,00,Increased STEM skills of workers employed by this business,328,61478
28,00,Decreased STEM skills of workers employed by this business,0,0
28,00,Did not change STEM skills of workers employed by this business,527,36157
28,00,"Not applicable, did not employ workers with STEM skills",0,0
29,00,Increased number of workers employed by this business,352,137323
29,00,Decreased number of workers employed by this business,161,7830
29,00,Did not change number of workers employed by this business,1894,123513
29,00,Increased skill level of workers employed by this business,914,164846
29,00,Decreased STEM skills of workers employed by this business,0,0
29,00,Decreased skill level of workers employed by this business,0,0
29,00,Did not change skill level of workers employed by this business,1441,103813
29,00,Increased STEM skills of workers employed by this business,633,169555
29,00,Did not change STEM skills of workers employed by this business,971,86975
29,00,"Not applicable, did not employ workers with STEM skills",801,12136
30,00,Increased STEM skills of workers employed by this business,216,10857
