year,state,naics_sector,naics_label,n_emp,n_firms,payroll,revenue,avg_wage,revenue_per_firm
2017,04,44-45,Retail Trade,328018,9918,9665786,101738914,29467.242651317916,10258.00705787457
2017,04,48-49,Transportation,92945,2842,4528218,14356915,48719.32863521438,5051.694229415904
2017,04,51,Information,59384,1518,3947075,19504576,66466.97763707396,12848.864295125164
2017,04,52,Finance and Insurance,170625,5309,12278832,86760511,71963.85054945055,16342.156903371633
2017,04,53,Real Estate,46683,7761,2136260,12856879,45760.9836557205,1656.6008246360004
2017,04,54,Professional Services,146402,16808,10501121,23878892,71727.98868867912,1420.686101856259
2017,04,56,Administrative Services,258670,7429,8953742,17446119,34614.53589515599,2348.3805357383226
2017,04,61,Educational Services,61195,1920,2364756,3792103,38642.96102622763,1975.0536458333333
2017,04,62,Health Care,354685,14047,16713059,44222983,47120.85089586535,3148.2154908521393
2017,04,71,Arts and Recreation,42558,1792,1652933,3891530,38839.53663236054,2171.612723214286
2017,04,72,Food Services,287425,8668,5214806,18052166,18143.18865791076,2082.6218274111675
2017,04,81,Other Services,55062,6648,1824111,6722475,33128.30990519778,1011.2026173285199
2017,05,11,Agriculture,5641,740,218475,863950,38729.83513561425,1167.5
2017,05,21,Mining,4063,278,253839,3206058,62475.75682992862,11532.58273381295
2017,05,22,Utilities,7118,138,637863,5289917,89612.6720989042,38332.73188405797
2017,05,23,Construction,49169,5387,2242770,11279413,45613.49630864976,2093.82086504548
2017,05,31-33,Manufacturing,154302,2260,7045519,57709856,45660.58119791059,25535.334513274338
2017,05,42,Wholesale Trade,56196,2644,2802544,83819711,49870.88048971457,31701.85741301059
2017,05,44-45,Retail Trade,144223,6761,3697041,41637965,25634.198428822034,6158.5512498151165
2017,05,48-49,Transportation,54619,2065,2509940,8537066,45953.605888060934,4134.172397094431
2017,05,51,Information,21704,500,1395134,7496093,64280.040545521566,14992.186
2017,05,52,Finance and Insurance,35983,2477,2231467,11784308,62014.4790595559,4757.492127573678
2017,05,53,Real Estate,11010,2434,407783,2819484,37037.51135331517,1158.3746918652423
2017,05,54,Professional Services,39469,5481,2151152,5813929,54502.31827510198,1060.7423827768655
2017,05,55,Management,44985,307,4075419,974050,90595.06502167389,3172.801302931596
2017,05,56,Administrative Services,69311,2462,1790407,4163999,25831.498607724603,1691.3074735987002
2017,05,61,Educational Services,16780,580,403033,979393,24018.65315852205,1688.6086206896553
2017,05,62,Health Care,169759,5887,6909921,17438847,40704.29844662139,2962.2638015967386
2017,05,71,Arts and Recreation,10022,787,217687,1016185,21720.913989223707,1291.2134688691233
2017,05,72,Food Services,107523,4518,1545459,5456813,14373.287575681483,1207.7939353696327
